Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1610.6838136607764
FDW14,OUT017,1391.1405065226704
NCN55,OUT010,566.5916944706046
FDQ58,OUT017,2480.6051344498933
FDY38,OUT027,6183.2957790035525
FDH56,OUT046,1900.5870248126355
FDL48,OUT018,639.7560812660151
FDC48,OUT027,2288.254465993623
FDN33,OUT045,1383.4924748835408
FDA36,OUT017,2940.9539989483624
FDT44,OUT017,1959.8607579069069
FDQ56,OUT045,1336.5957483061318
NCC54,OUT019,628.095181269291
FDU11,OUT049,2196.251872633257
DRL59,OUT013,877.3632656356693
FDM24,OUT049,2331.437457843401
FDI57,OUT045,2989.279280489748
DRC12,OUT018,2518.7703077333967
NCM42,OUT027,2786.617187477259
FDA46,OUT010,405.5550504680223
FDA31,OUT013,2712.3772377309797
NCJ31,OUT035,3587.244330304477
FDG52,OUT046,872.3723372585299
NCL19,OUT019,509.2131014721938
FDS10,OUT035,2868.354675741361
FDX22,OUT010,739.8867771298649
NCF19,OUT035,936.8780154612048
NCE06,OUT046,2443.758211521496
DRC27,OUT046,3317.943535318699
FDE21,OUT035,2251.4899508277895
NCR42,OUT019,-42.31596764428035
FDX51,OUT018,2889.4970356422314
NCR06,OUT018,776.5131764326659
FDU31,OUT027,5203.674276819316
FDU59,OUT017,2483.9420673241043
FDR03,OUT027,5227.505396904771
FDS49,OUT027,2360.283802653111
FDD48,OUT010,312.1575501349161
NCF18,OUT017,2889.822794849056
NCD43,OUT027,2723.4421321172244
NCD54,OUT018,1725.5511008671726
FDY19,OUT010,386.50199800655804
NCY54,OUT017,2869.5024832863824
NCL19,OUT018,2111.5866682371916
FDP23,OUT010,704.3008840550234
FDC26,OUT013,1844.7655755178073
FDR14,OUT010,74.94288118159179
NCS41,OUT035,3255.4118390898575
FDF41,OUT035,4006.096151623428
FDU34,OUT046,2084.4465895802596
DRH11,OUT046,862.2855325623708
FDM03,OUT013,1694.0455683968555
FDS31,OUT017,2898.8327101736368
FDJ20,OUT017,2067.1672735798215
FDV44,OUT027,4751.528741683993
FDG02,OUT049,3225.555919329647
FDA09,OUT013,3468.7731904813013
FDT04,OUT013,815.3712645106264
FDL58,OUT019,636.5126535758037
FDE52,OUT045,1539.5429887258354
FDW12,OUT035,2359.231140240768
FDL51,OUT017,3232.0339855843413
NCY42,OUT027,3140.88010983382
FDR07,OUT017,1684.8664194545381
FDN40,OUT045,2339.5031624166686
FDB35,OUT027,2497.7124342250895
FDA22,OUT017,2675.731754492361
NCL06,OUT046,3900.3769625471773
FDI35,OUT013,3124.5792289895912
NCW42,OUT045,3323.6447238604205
NCX06,OUT049,3002.3985799896577
FDC37,OUT027,2665.0972403833703
FDZ14,OUT018,1695.2079066093866
DRG49,OUT049,4081.223988041259
NCG06,OUT045,3631.0127952385583
DRC36,OUT045,2535.249058636413
FDV21,OUT019,474.4226160308787
FDB53,OUT046,2490.233821483919
DRP47,OUT019,530.5414557240765
FDA14,OUT013,2461.8593774270926
DRC24,OUT035,2406.9344153354887
FDW21,OUT018,1689.0729008438634
NCH29,OUT046,1578.6507129758147
FDU58,OUT013,2875.419662047157
FDY27,OUT017,2921.209982060528
FDV56,OUT035,1771.1771049315284
FDT59,OUT046,3597.8425599833495
FDB23,OUT046,3487.73091244324
FDR49,OUT045,799.5063137234271
FDB03,OUT010,486.4410891191498
FDN39,OUT045,2755.7395504105225
FDX02,OUT027,5730.98878631616
FDQ16,OUT027,2789.420930071511
FDU35,OUT018,1465.7301480770134
NCT29,OUT013,2116.6579969608315
FDZ27,OUT046,851.614276137254
FDN57,OUT017,2155.2110644140603
FDA03,OUT018,2176.2166823526627
FDZ36,OUT045,3355.111638224909
NCU05,OUT013,1394.9039008662778
FDT39,OUT018,2171.587188542568
FDK60,OUT017,1573.2148942592073
FDZ25,OUT017,2881.4343269969645
FDG12,OUT046,2078.432741083873
DRB01,OUT019,425.3663955925532
NCC43,OUT027,6547.722518212645
FDX13,OUT019,787.1728426443195
FDM22,OUT049,974.8806477460377
FDJ03,OUT027,1567.472247702482
FDU14,OUT018,3529.327232086097
FDB33,OUT010,568.7631519406691
FDP27,OUT046,3165.265925796539
FDO38,OUT010,171.16339754644252
FDE28,OUT027,5756.007754398194
FDO27,OUT035,1461.5016956753313
DRL23,OUT027,2789.077730487342
FDS28,OUT046,952.218887007144
FDX24,OUT013,1445.6572384065487
FDZ02,OUT035,1693.5324220365026
FDL46,OUT045,1821.6894829495075
FDS60,OUT027,4668.120122818722
NCO06,OUT017,774.4527236617864
FDO16,OUT035,1464.635728230642
FDC60,OUT049,1712.8869103302202
FDA48,OUT018,2960.4383344578846
FDZ36,OUT027,5071.877335558349
FDK27,OUT045,2014.9706241137417
FDW23,OUT018,720.1480453970664
FDM14,OUT018,1565.8606823407151
FDM14,OUT013,1751.1535773886708
FDW60,OUT018,2794.877099618528
FDE21,OUT013,2017.0923611009612
NCM42,OUT035,1792.6896831113138
FDY59,OUT010,219.12363547392843
DRI49,OUT049,1318.4553826931065
FDT28,OUT019,527.5950720834643
FDQ22,OUT018,560.8952037483318
FDR60,OUT049,1283.4657637325283
FDC50,OUT019,259.06046032159344
FDV24,OUT013,2395.4792524579498
DRF48,OUT010,589.1970421033103
FDQ47,OUT046,647.993959856398
DRN36,OUT049,1565.1313148169108
NCY06,OUT035,2250.1079771278314
FDE52,OUT035,1612.1098487893973
NCB54,OUT045,1985.381401739271
NCF31,OUT035,2371.010965829393
FDJ08,OUT027,4920.321314832092
NCC07,OUT017,1608.5451935743388
NCD19,OUT027,2030.829700849523
FDL46,OUT049,1946.766120636118
FDM20,OUT045,3884.2009584808397
NCI06,OUT010,554.5590885369916
DRM11,OUT035,4058.2202553955076
NCH07,OUT018,2119.332266775533
FDS23,OUT013,2109.302311953591
FDO49,OUT018,661.8844415045265
FDS35,OUT049,1117.9795674643726
DRK39,OUT045,1325.00777576455
DRI39,OUT049,897.597315741181
FDV04,OUT017,2375.0759066910773
NCN14,OUT035,3306.258291881371
FDH08,OUT013,4041.000034682283
FDS20,OUT046,3286.195192205548
FDV40,OUT049,1287.9655447140833
FDZ48,OUT010,225.1784006147377
FDS24,OUT027,2394.7822272974786
FDK44,OUT049,2706.4766491066202
FDS48,OUT045,2369.0751336103112
FDK26,OUT010,548.930763981432
FDD23,OUT045,3175.1333162947244
NCH54,OUT017,2540.8945564827945
NCP14,OUT010,265.74316855130195
FDM60,OUT010,-33.819921858640406
FDV24,OUT017,2358.977333993548
FDH08,OUT018,3334.4775450494076
FDS12,OUT027,3093.1859659893644
FDR39,OUT027,4963.073238446792
FDP12,OUT027,1426.0332131843434
DRF60,OUT027,5995.6272648459135
FDC09,OUT035,1814.8635449411568
FDF50,OUT018,2984.567952046787
FDG28,OUT035,3880.3515430498705
NCE19,OUT017,826.451925836473
NCM53,OUT010,241.41831908546618
NCN18,OUT049,1853.257766583329
FDF32,OUT035,3207.7210817635923
FDF11,OUT013,4208.9086039582435
DRI59,OUT049,3748.5324115839535
NCG54,OUT035,2977.1256587225516
FDM44,OUT046,1687.0161897415362
FDT57,OUT018,3122.799018010003
FDV24,OUT046,2389.4952257823597
FDI50,OUT019,793.7675973461851
FDS09,OUT035,959.7534122236432
NCC31,OUT027,3739.2398897779467
FDQ07,OUT019,588.1739306302285
FDC22,OUT017,3065.2143604751977
FDZ56,OUT046,2886.431626807046
FDZ40,OUT019,90.58374563154624
FDS46,OUT027,3082.992997157877
DRD24,OUT045,1991.6967390130762
FDV45,OUT017,3056.6101255775166
FDL26,OUT045,2446.135604997782
FDA56,OUT018,1912.7659135446706
FDN27,OUT046,1681.91107804103
FDM20,OUT049,4044.4154987859124
FDO16,OUT017,1473.9469042004157
FDL03,OUT035,3100.501133863685
FDE58,OUT046,1891.618187208462
FDI02,OUT027,2952.031760225534
NCC55,OUT019,-66.7250502834702
FDR03,OUT018,3133.7425298288395
FDB14,OUT017,1619.5258295981416
FDR45,OUT013,3879.5685311288876
NCN07,OUT017,2149.114796130269
FDM51,OUT019,327.0967720712521
FDT52,OUT027,6190.771107388956
FDL26,OUT046,2450.954782093978
NCZ42,OUT046,4182.098596013459
DRI47,OUT019,529.1136228441815
FDW40,OUT013,2186.5289007377723
FDN34,OUT046,2905.4458312515953
FDS01,OUT035,2921.1752958124707
NCG55,OUT045,1842.5637768986537
FDC11,OUT035,1447.1210154065595
FDX35,OUT018,3365.4798240516225
NCB06,OUT046,2577.7020104507646
FDR09,OUT019,659.5766930186616
FDC53,OUT017,1626.8465518707444
FDY45,OUT013,4356.841521631046
FDA22,OUT010,492.9592975892731
FDE02,OUT035,1529.6467469029167
